,s
0,kamwe
1,washia
2,jani
3,kifua
4,mbolea
5,kubwa
6,mekno
7,kidole
8,chanzo
9,msumari
10,ishara
11,mfupa
12,piga
13,stork
14,kelele
15,sungura
16,mlango
17,nyasi
18,mechezo
19,kiti
20,radi
21,mvua
22,mtirka
23,kikapu
24,nyundo
25,mazishi
26,daraja
27,kiwango
28,ngamia
29,kifungo
30,jeraha
31,kazi
32,nakala
33,jino
34,asili
35,miaka
36,nyeusi
37,moshi
38,mguu
39,uhuru
40,siagi
41,ishiri
42,mkanda
43,koleo
44,tamaa
45,guruwe
46,mwanake
47,kemia
48,mundamo
49,mkate
50,chupa
51,petye
52,geza
53,ndaniya
54,chubani
55,katika
56,garisi
57,maua
58,nyange
59,mahindi
60,chumvi
61,rafiki
62,neyemba
63,hasira
64,nyundu
65,sayari
66,tumbili
67,viatu
68,surali
69,nchi
70,wadudu
71,kunywa
72,shimoni
73,filimbi
74,daima
75,kartasi
76,jibini
77,kisu
78,chombo
79,mraba
80,kununa
81,mbwa
82,mkono
83,gari
84,picha
85,singizi
86,mavazi
87,mgonjwa
88,kihozi
89,kaburi
90,amani
91,bustani
92,soko
93,barua
94,umeme
95,kusanya
96,mafuta
97,kimysa
98,jumatu
99,mchezo
100,suti
101,wengine
102,trekta
103,kioo
104,mdomo
105,bega
106,hofu
107,uzio
108,takatak
109,nyota
110,mwezi
111,chupi
112,baiski
113,akili
114,tafuta
115,kisiwa
116,tanuri
117,sauti
118,jikoni
119,maji
120,rombus
121,mzungu
122,skrini
123,bafuni
124,chuki
125,ngono
126,ugomvi
127,maziwa
128,tamasha
129,moyo
130,habari
131,ufagio
132,farasi
133,sabuni
134,wingi
135,panya
136,seesaw
137,tembo
138,samaki
139,aibu
140,osha
141,kijivu
142,goti
143,mchawi
144,unga
145,sufuria
146,kesho
147,simu
148,kumbuka
149,ndege
150,mtawa
151,kiatu
152,mungu
153,starehe
154,glasi
155,adhabu
156,pigo
157,bendi
158,yatima
159,baadaye
160,mageho
161,nanga
162,mpishi
163,seri
164,mkasi
165,pazia
166,kumba
167,kuzama
168,umasijo
169,meza
170,mapafu
171,kitande
172,kubale
173,mvringo
174,gundi
175,punda
176,matunda
177,wimbo
178,ndoora
179,hatua
180,nopya
181,chuma
182,funzi
183,jua
184,kengele
185,nzuri
186,sahani
187,imani
188,bloke
189,dari
190,mkoba
191,mali
192,bunifu
193,kawaida
194,kukimba
195,kinywa
196,ardhi
197,kofia
198,haki
199,ndizi
200,ndogo
201,kitovu
202,ngazi
203,kahawa
204,mwanga
205,adui
206,mfuko
207,choori
208,ukame
209,pwani
210,jiwe
211,waya
212,mdudu
213,mkuu
214,mvuke
215,uadui
216,msitu
217,mizizi
218,uchorai
219,sindano
220,nguo
221,dakika
222,kuhesa
223,ukweli
224,kito
225,mbuzi
226,bahari
227,zeituni
228,matumai
229,alizeti
230,welder
231,shule
232,usiku
233,kuandika
234,kuacha
235,punguza
236,juuya
237,suruali
238,buli
239,baharia
240,sehemu
241,matumbo
242,twai
243,duka
244,fedha
245,chaki
246,kichwa
247,nyoka
248,hekalu
249,mchuzi
250,mamba
251,kujenga
252,jokofu
253,mchanga
254,ndugu
255,ijayo
256,kudhibi
257,kusikiza
258,lugha
259,dhoruba
260,rangi
261,kamba
262,pole
263,kijiko
264,furaha
265,dizeli
266,wakala
267,godoro
268,mbali
269,uyoga
270,mashua
271,ofisi
272,maisha
273,nyumba
274,mende
275,mtoto
276,hazini
277,miwani
278,ndevu
279,yake
