,Pictures,Names,Names1,Names2,Names3,RT,Response,RT_certainty,Response_certainty,Accuracy,Knowledge,Subject,Sex,Age,Handedness
88,89,林志玲,徐熙媛,陈意涵,侯佩岑,6.500165909528732e-06,d,2.440018579363823e-05,d,0.0,0.0,99.0,female,20.0,right-handed
41,42,郭富城,古巨基,古天乐,尔冬升,6.600283086299896e-06,d,6.100162863731384e-06,d,0.0,0.0,99.0,female,20.0,right-handed
90,91,何鸿燊,陈荣炼,霍启刚,李嘉诚,2.369983121752739e-05,d,6.90016895532608e-06,d,0.0,0.0,99.0,female,20.0,right-handed
94,95,俞敏洪,何凯文,蒋中庭,肖秀荣,6.100162863731384e-06,d,7.200054824352264e-06,d,1.0,0.0,99.0,female,20.0,right-handed
107,108,徐峥,廖凡,黄磊,王凯,6.00004568696022e-06,d,6.400048732757568e-06,d,1.0,0.0,99.0,female,20.0,right-handed
32,33,王祖贤,周慧敏,吴君如,周海媚,6.100162863731384e-06,d,6.400048732757568e-06,d,1.0,0.0,99.0,female,20.0,right-handed
5,6,邓小平, 荣毅仁,李瑞环,杨尚昆,6.400048732757568e-06,d,5.400273948907852e-06,d,0.0,0.0,99.0,female,20.0,right-handed
119,120,莫言,王蒙,路遥,曹禺,6.299931555986404e-06,d,8.800067007541656e-06,d,0.0,0.0,99.0,female,20.0,right-handed
112,113,巩俐,周迅,陶虹,汤唯,6.600283086299896e-06,d,6.00004568696022e-06,d,1.0,0.0,99.0,female,20.0,right-handed
60,61,马丽,贾玲,王琦,王智,6.0996972024440765e-06,d,5.600042641162872e-06,d,0.0,0.0,99.0,female,20.0,right-handed
89,90,张国立,郭凯敏,张涵予,冯小刚,6.200280040502548e-06,d,7.200054824352264e-06,d,0.0,0.0,99.0,female,20.0,right-handed
68,69,朱军,赵普,杨帆,张韬,6.299931555986404e-06,d,9.000301361083984e-06,d,0.0,0.0,99.0,female,20.0,right-handed
67,68,赵忠祥,刘栋栋,王景愚,张泽群,6.9998204708099365e-06,d,6.00004568696022e-06,d,1.0,0.0,99.0,female,20.0,right-handed
104,105,郎平,丁霞,颜妮,张娴,7.000286132097244e-06,d,8.00006091594696e-06,d,0.0,0.0,99.0,female,20.0,right-handed
47,48,赵本山,黄子华,曾志伟,郑中基,6.100162863731384e-06,d,2.690032124519348e-05,d,1.0,0.0,99.0,female,20.0,right-handed
38,39,苏有朋,金城武,陈小春,朱孝天,6.299931555986404e-06,d,5.8002769947052e-06,d,0.0,0.0,99.0,female,20.0,right-handed
21,22,梁朝伟,张家辉,刘青云,何家驹,1.9900035113096237e-05,d,5.499925464391708e-06,d,1.0,0.0,99.0,female,20.0,right-handed
133,134,李兰娟,林巧稚,梁毅文,杨崇瑞,2.0700041204690933e-05,d,8.299946784973145e-06,d,1.0,0.0,99.0,female,20.0,right-handed
109,110,黄晓明,贾乃亮,朱亚文,彭冠英,6.5998174250125885e-06,d,6.6999346017837524e-06,d,0.0,0.0,99.0,female,20.0,right-handed
63,64,张小斐,高秀敏,黄小娟,陈小艺,6.500165909528732e-06,d,5.899928510189056e-06,d,1.0,0.0,99.0,female,20.0,right-handed
105,106,黄渤,黄轩,张译,杨烁,6.500165909528732e-06,d,2.6499852538108826e-05,d,1.0,0.0,99.0,female,20.0,right-handed
116,117,岳云鹏,曹云金,郭麒麟,阎鹤祥,6.0996972024440765e-06,d,6.6999346017837524e-06,d,0.0,0.0,99.0,female,20.0,right-handed
51,52,宋丹丹,马丽娟,沈春阳,潘凤霞,6.800051778554916e-06,d,5.7998113334178925e-06,d,0.0,0.0,99.0,female,20.0,right-handed
33,34,温碧霞,杨恭如,关之琳,邓紫棋,2.0099803805351257e-05,d,6.299931555986404e-06,d,0.0,0.0,99.0,female,20.0,right-handed
132,133,钟南山,张伯礼,吴孟超,黄旭华,6.00004568696022e-06,d,7.799826562404633e-06,d,0.0,0.0,99.0,female,20.0,right-handed
125,126,刘强东,宗庆后,王振辉,黄宣德,6.200280040502548e-06,d,6.6999346017837524e-06,d,0.0,0.0,99.0,female,20.0,right-handed
127,128,李开复,李书福,黄克兴,张近东,6.4997002482414246e-06,d,7.0999376475811005e-06,d,0.0,0.0,99.0,female,20.0,right-handed
24,25,胡歌,郑恺,陈晓,夏雨,6.400048732757568e-06,d,5.600042641162872e-06,d,0.0,0.0,99.0,female,20.0,right-handed
101,102,姚明,周琦,林丹,孙杨,5.899928510189056e-06,d,6.6999346017837524e-06,d,0.0,0.0,99.0,female,20.0,right-handed
52,53,郭冬临,寇振海,李文启,常汝言,6.00004568696022e-06,d,8.00006091594696e-06,d,0.0,0.0,99.0,female,20.0,right-handed
58,59,蔡明,杨蕾,韩影,闫妮,6.299931555986404e-06,d,2.510007470846176e-05,d,0.0,0.0,99.0,female,20.0,right-handed
122,123,马化腾,马晓轶,任宇昕,许家印,6.299931555986404e-06,d,7.100403308868408e-06,d,0.0,0.0,99.0,female,20.0,right-handed
95,96,蔡康永,徐乃麟,吴宗宪,倪志强,6.0996972024440765e-06,d,6.800051778554916e-06,d,0.0,0.0,99.0,female,20.0,right-handed
87,88,海霞,周涛,柴静,张越,6.400048732757568e-06,d,6.90016895532608e-06,d,1.0,0.0,99.0,female,20.0,right-handed
134,135,王毅,耿爽,洪磊,秦刚,5.900394171476364e-06,d,6.90016895532608e-06,d,0.0,0.0,99.0,female,20.0,right-handed
117,118,孙越,苗阜,梁超,侯震,6.200280040502548e-06,d,5.999580025672913e-06,d,0.0,0.0,99.0,female,20.0,right-handed
36,37,贾玲,宋宁,金珠,姚晨,6.1998143792152405e-06,d,6.100162863731384e-06,d,0.0,0.0,99.0,female,20.0,right-handed
35,36,李连杰,刘家良,张卫健,赵志凌,6.799586117267609e-06,d,6.00004568696022e-06,d,1.0,0.0,99.0,female,20.0,right-handed
26,27,林青霞,蓝洁瑛,黄纪莹,钟楚红,6.1998143792152405e-06,d,2.3900065571069717e-05,d,0.0,0.0,99.0,female,20.0,right-handed
8,9,习近平,李源潮,曾培炎,刘云山,6.500165909528732e-06,d,5.899928510189056e-06,d,0.0,0.0,99.0,female,20.0,right-handed
81,82,赵薇,万茜,蒋欣,倪妮,6.00004568696022e-06,d,7.400289177894592e-06,d,0.0,0.0,99.0,female,20.0,right-handed
7,8,胡锦涛,吴邦国,张立昌,曾庆红,6.800051778554916e-06,d,5.899928510189056e-06,d,0.0,0.0,99.0,female,20.0,right-handed
18,19,周星驰,陈可辛,叶伟信,许绍雄,2.5199726223945618e-05,d,5.499925464391708e-06,d,0.0,0.0,99.0,female,20.0,right-handed
28,29,邱淑贞,陈宝莲,李婉华,叶玉卿,5.7998113334178925e-06,d,7.300172001123428e-06,d,0.0,0.0,99.0,female,20.0,right-handed
84,85,欧阳夏丹,李莎旻子,赵韩樱子,吉克隽逸,6.00004568696022e-06,d,6.90016895532608e-06,d,0.0,0.0,99.0,female,20.0,right-handed
54,55,范伟,钱程,李俊,秦雷,6.00004568696022e-06,d,2.1700281649827957e-05,d,0.0,0.0,99.0,female,20.0,right-handed
27,28,朱茵,张雯,宋佳,董洁,6.1998143792152405e-06,d,5.700159817934036e-06,d,1.0,0.0,99.0,female,20.0,right-handed
