,Pictures,Names,Names1,Names2,Names3,RT,Response,RT_certainty,Response_certainty,Accuracy,Knowledge,Subject,Sex,Age,Handedness
44,45,周杰伦,萧敬腾,张信哲,陈奕迅,5.696234799921513,j,2.289093599654734,n,0.0,0.0,16.0,male,29.0,right-handed
124,125,李彦宏,平晓黎,曹晓冬,宋志平,3.692037499975413,j,0.7311045001260936,j,1.0,1.0,16.0,male,29.0,right-handed
57,58,宋小宝,罗家英,刘小光,郑中基,1.3767201001755893,j,0.3873449000529945,j,1.0,1.0,16.0,male,29.0,right-handed
106,107,邓婕,史可,周月,何晴,12.184415299911052,j,0.9560326999053359,n,1.0,1.0,16.0,male,29.0,right-handed
32,33,王祖贤,周慧敏,吴君如,周海媚,2.9518770002759993,d,0.5721952002495527,j,1.0,1.0,16.0,male,29.0,right-handed
59,60,沈腾,张译,尹正,艾伦,9.625247699674219,n,0.8297112002037466,j,1.0,1.0,16.0,male,29.0,right-handed
117,118,孙越,苗阜,梁超,侯震,4.091659599915147,j,0.7060715998522937,j,1.0,1.0,16.0,male,29.0,right-handed
52,53,郭冬临,寇振海,李文启,常汝言,5.75028509972617,d,0.6373107000254095,j,1.0,1.0,16.0,male,29.0,right-handed
100,101,倪大红,韩童生,徐少华,杨志刚,5.752921899780631,c,1.1299946000799537,n,1.0,1.0,16.0,male,29.0,right-handed
46,47,韩红,田震,柏文,韦唯,2.7178776999935508,n,0.5663880999200046,j,1.0,1.0,16.0,male,29.0,right-handed
29,30,黄奕,曾黎,姜珊,梅婷,2.2140887998975813,c,0.6309751998633146,j,1.0,1.0,16.0,male,29.0,right-handed
42,43,王菲,潘虹,那英,黄龄,4.505604800302535,c,0.569208700209856,d,0.0,0.0,16.0,male,29.0,right-handed
31,32,刘亦菲,郭碧婷,刘诗诗,黄圣依,11.337845100089908,c,0.5002623000182211,j,1.0,1.0,16.0,male,29.0,right-handed
45,46,刘欢,孙楠,周华,刀郎,10.747729800175875,j,1.0534311002120376,c,0.0,0.0,16.0,male,29.0,right-handed
69,70,倪萍,李娟,曹颖,杜宪,4.047758100088686,j,0.5287600997835398,j,1.0,1.0,16.0,male,29.0,right-handed
137,138,张柏芝,钟欣潼,蔡少芬,袁咏仪,4.247906799893826,c,0.4020799002610147,j,1.0,1.0,16.0,male,29.0,right-handed
99,100,章子怡,霍思燕,李小冉,蒋勤勤,5.289139800239354,n,0.7034074999392033,j,1.0,1.0,16.0,male,29.0,right-handed
12,13,汪洋,黄菊,罗干,李鹏,1.290295900311321,j,0.4499331000261009,j,1.0,1.0,16.0,male,29.0,right-handed
1,2,周恩来,陈延年,邓中夏,孙炳文,9.426406499929726,j,3.0331379999406636,c,1.0,0.0,16.0,male,29.0,right-handed
55,56,郭达,何军,刘劲,刘流,6.113984599709511,j,0.5783076002262533,j,1.0,1.0,16.0,male,29.0,right-handed
