,s
0,seri
1,kusikiza
2,kiti
3,dakika
4,kalamu
5,imani
6,kushoto
7,uchorai
8,bloke
9,kitovu
10,nguo
11,kawaida
12,soko
13,starehe
14,adui
15,kubwa
16,mali
17,mekno
18,ishara
19,nzuri
20,mchanga
21,kichwa
22,kito
23,mafuta
24,hamsi
25,nyundo
26,mtawa
27,wingu
28,bandari
29,tanuri
30,uadui
31,nyundu
32,petye
33,mtoto
34,mechezo
35,mguu
36,mwanga
37,ufagio
38,piga
39,glasi
40,sahani
41,ndevu
42,kihozi
43,surali
44,mpishi
45,mkanda
46,wimbo
47,chubani
48,ndaniya
49,mungu
50,jeraha
51,rafiki
52,lugha
53,welder
54,chupa
55,kunywa
56,matunda
57,ngono
58,gari
59,moshi
60,seesaw
61,mkoba
62,bafuni
63,kuruka
64,habari
65,sehemu
66,jumatu
67,matumbo
68,jansa
69,siagi
70,elfu
71,asili
72,uongo
73,kisu
74,wengine
75,jibini
76,pole
77,mkono
78,barua
79,zeituni
80,almasi
81,koleo
82,jiwe
83,umeme
84,maua
85,yatima
86,uyoga
87,tembo
88,wakala
89,furaha
90,jino
91,mavazi
92,mbwa
93,sauti
94,moyo
95,mdudu
96,hasira
97,kovuli
98,farasi
99,msitu
100,godoro
101,kuhesa
102,sungura
103,amani
104,rangi
105,chanzo
106,kijivu
107,kupanda
108,ngozi
109,pombe
110,kununa
111,meza
112,jokofu
113,stork
114,kamba
115,nyoka
116,kifua
117,kubale
118,kikapu
119,gundi
120,kujenga
121,ndugu
122,ardhi
123,nyange
124,alizeti
125,tamasha
126,tamaa
127,kukimba
128,meli
129,suruali
130,mkuu
131,kartasi
132,simu
133,mvua
134,ngamia
135,kesho
136,tumbili
137,mundamo
138,sayari
139,msumari
