,Unnamed: 0,NOptions,Correct,SRPE,Swahili1,Swahili2,Swahili3,Swahili4,Face,TestSwahili1,TestSwahili2,TestSwahili3,TestSwahili4,Color1,Color2,Color3,Color4,RT,Response,SelectedWord,RT_recognition,Response_recognition,Accuracy_recognition,SelectedWord_recognition,RT_certainty,Response_certainty
0,3,2,1,0.5,kawaida,wimbo,koleo,kifua,55,koleo,kifua,kawaida,wimbo,white,black,white,black,0.0506964996457099,d,kawaida,0.15055500017479062,d,0.0,koleo,0.15136989997699857,0.0
1,4,1,1,0.0,s,mechezo,siagi,rangi,121,rangi,mechezo,s,siagi,black,black,black,white,0.0499759996309876,d,s,0.15134490001946688,d,0.0,rangi,0.15152550023049116,0.0
2,2,4,1,0.75,nyundu,jumatu,kuhesa,tumbili,124,tumbili,kuhesa,jumatu,nyundu,white,white,white,white,0.0505371000617742,d,nyundu,0.15074239997193217,d,0.0,tumbili,0.1505535999312997,0.0
3,0,4,1,0.75,uadui,sehemu,godoro,kesho,87,uadui,godoro,sehemu,kesho,white,white,white,white,0.0500989998690784,d,uadui,0.15016070008277893,d,1.0,uadui,0.1507562999613583,0.0
4,1,2,0,-0.5,bloke,surali,barua,stork,104,barua,surali,stork,bloke,black,white,black,white,0.0507086999714374,d,surali,0.15089259995147586,d,0.0,barua,0.15037969965487719,0.0
5,8,4,0,-0.25,kito,ngono,mbwa,kukimba,120,mbwa,kito,ngono,kukimba,white,white,white,white,0.0506601999513804,d,ngono,0.14998119976371527,d,0.0,mbwa,0.15203069988638163,0.0
6,7,4,0,-0.25,mali,rafiki,uyoga,ndugu,35,mali,rafiki,ndugu,uyoga,white,white,white,white,0.050713799893856,d,uyoga,0.15065909968689084,d,0.0,mali,0.1498811999335885,0.0
7,9,4,0,-0.25,kichwa,matunda,mavazi,tamaa,7,kichwa,mavazi,matunda,tamaa,white,white,white,white,0.0505193998105824,d,tamaa,0.15141939977183938,d,0.0,kichwa,0.14974489994347095,0.0
8,5,2,1,0.5,kitovu,mpishi,zeituni,kamba,72,kamba,mpishi,zeituni,kitovu,white,black,black,white,0.050329300109297,d,kitovu,0.15015480015426874,d,0.0,kamba,0.14993480034172535,0.0
9,6,4,0,-0.25,ishara,welder,wakala,nyange,4,ishara,welder,nyange,wakala,white,white,white,white,0.0507891997694969,d,wakala,0.15149830002337694,d,0.0,ishara,0.15125249978154898,0.0
10,10,4,0,-0.25,hamsi,moshi,moyo,suruali,134,moshi,moyo,hamsi,suruali,white,white,white,white,0.0510517000220716,d,moshi,0.15080189984291792,d,1.0,moshi,0.1502700001001358,0.0
11,11,2,1,0.5,nguo,mkanda,almasi,nyoka,31,mkanda,almasi,nguo,nyoka,black,white,black,white,0.0510804001241922,d,nguo,0.15105299977585673,d,0.0,mkanda,0.15000770008191466,0.0
12,14,1,1,0.0,kiti,ufagio,uongo,kupanda,129,ufagio,uongo,kiti,kupanda,black,black,white,black,0.0508542000316083,d,kiti,0.15069649973884225,d,0.0,ufagio,0.15126929990947247,0.0
13,13,4,0,-0.25,bandari,kuruka,farasi,mvua,73,bandari,farasi,mvua,kuruka,white,white,white,white,0.0515852998942136,d,mvua,0.15055070025846362,d,0.0,bandari,0.15096999984234571,0.0
14,12,4,0,-0.25,mekno,lugha,tembo,ardhi,128,mekno,ardhi,lugha,tembo,white,white,white,white,0.0503303003497421,d,tembo,0.15143950004130602,d,0.0,mekno,0.15030209999531507,0.0
15,16,4,0,-0.25,mafuta,gari,sauti,meli,15,meli,gari,sauti,mafuta,white,white,white,white,0.0504256999120116,d,meli,0.15129559999331832,d,1.0,meli,0.15013960003852844,0.0
16,15,4,0,-0.25,adui,mungu,maua,gundi,108,mungu,gundi,adui,maua,white,white,white,white,0.050743400119245,d,mungu,0.15074439998716116,d,1.0,mungu,0.15067930007353425,0.0
17,19,4,0,-0.25,kubwa,jeraha,yatima,kujenga,132,kubwa,kujenga,yatima,jeraha,white,white,white,white,0.0508359000086784,d,jeraha,0.15079319989308715,d,0.0,kubwa,0.1501561999320984,0.0
18,18,2,1,0.5,starehe,ndaniya,umeme,kikapu,60,kikapu,umeme,starehe,ndaniya,white,white,black,black,0.0514605999924242,d,starehe,0.15132319973781705,d,0.0,kikapu,0.1508839000016451,0.0
19,17,4,1,0.75,mtoto,jansa,amani,sayari,140,mtoto,sayari,amani,jansa,white,white,white,white,0.0510633997619152,d,mtoto,0.15071129985153675,d,1.0,mtoto,0.15010400023311377,0.0
20,20,4,0,-0.25,mtawa,mkoba,hasira,kartasi,62,mkoba,hasira,mtawa,kartasi,white,white,white,white,0.051171800121665,d,mkoba,0.1510507999919355,d,1.0,mkoba,0.1500539998523891,0.0
21,23,4,0,-0.25,mchanga,kunywa,jino,tamasha,119,kunywa,jino,tamasha,mchanga,white,white,white,white,0.0511286999098956,d,tamasha,0.15167880011722445,d,0.0,kunywa,0.15021139988675714,0.0
22,21,1,1,0.0,seri,mguu,elfu,chanzo,80,elfu,chanzo,seri,mguu,black,black,white,black,0.0506440997123718,d,seri,0.15151220001280308,d,0.0,elfu,0.14953779987990856,0.0
23,22,4,0,-0.25,nzuri,chupa,furaha,alizeti,25,chupa,alizeti,furaha,nzuri,white,white,white,white,0.0508790998719632,d,furaha,0.1504206000827253,d,0.0,chupa,0.15093320002779365,0.0
24,24,2,0,-0.5,kushoto,ndevu,pole,meza,59,kushoto,ndevu,pole,meza,black,black,white,white,0.0509903999045491,d,meza,0.15020969975739717,d,0.0,kushoto,0.1518677002750337,0.0
25,28,4,0,-0.25,nyundo,seesaw,mdudu,mkuu,115,seesaw,nyundo,mdudu,mkuu,white,white,white,white,0.0512844999320805,d,mkuu,0.15055490005761385,d,0.0,seesaw,0.14976210007444024,0.0
26,26,4,1,0.75,tanuri,habari,msitu,ngamia,93,msitu,tanuri,ngamia,habari,white,white,white,white,0.0504699000157415,d,tanuri,0.15089040016755462,d,0.0,msitu,0.14961590012535453,0.0
27,29,2,0,-0.5,kalamu,glasi,wengine,pombe,97,pombe,kalamu,glasi,wengine,black,black,white,white,0.0514078997075557,d,pombe,0.15013790037482977,d,1.0,pombe,0.1506639001891017,0.0
28,25,1,1,0.0,dakika,piga,kisu,ngozi,75,piga,dakika,kisu,ngozi,black,black,white,black,0.0510467002168297,d,dakika,0.1508452002890408,d,0.0,piga,0.15058779995888472,0.0
29,27,4,1,0.75,petye,matumbo,sungura,mundamo,91,matumbo,sungura,mundamo,petye,white,white,white,white,0.0508019002154469,d,petye,0.14989240001887083,d,0.0,matumbo,0.1496971999295056,0.0
30,33,4,0,-0.25,wingu,bafuni,kovuli,simu,34,bafuni,simu,kovuli,wingu,white,white,white,white,0.051257399842143,d,kovuli,0.15074789989739656,d,0.0,bafuni,0.15030690003186464,0.0
31,32,2,0,-0.5,uchorai,kihozi,mkono,jokofu,29,jokofu,kihozi,mkono,uchorai,black,white,white,black,0.0503819002769887,d,mkono,0.1503483997657895,d,0.0,jokofu,0.15088179986923933,0.0
32,34,2,1,0.5,soko,chubani,jiwe,kubale,92,soko,chubani,jiwe,kubale,black,black,white,white,0.0511652999557554,d,soko,0.15104479994624853,d,1.0,soko,0.1510765003040433,0.0
33,31,1,1,0.0,kusikiza,mwanga,asili,kijivu,86,kusikiza,asili,mwanga,kijivu,white,black,black,black,0.050584599841386,d,kusikiza,0.15061610005795956,d,1.0,kusikiza,0.1500173001550138,0.0
34,30,2,0,-0.5,imani,sahani,jibini,kununa,53,imani,kununa,sahani,jibini,white,black,white,black,0.0514879999682307,d,jibini,0.15082410024479032,d,0.0,imani,0.15065949968993664,0.0
