,Unnamed: 0,NOptions,Correct,SRPE,Swahili1,Swahili2,Swahili3,Swahili4,Face,TestSwahili1,TestSwahili2,TestSwahili3,TestSwahili4,Color1,Color2,Color3,Color4,RT,Response,SelectedWord,RT_recognition,Response_recognition,Accuracy_recognition,SelectedWord_recognition,RT_certainty,Response_certainty
0,2,2,0,-0.5,msumari,tamaa,mraba,tafuta,51,msumari,tafuta,mraba,tamaa,black,white,white,black,7.269394699949771,c,mraba,24.617011799942702,n,1.0,mraba,1.1222804002463818,3.0
1,1,2,1,0.5,kelele,mkate,picha,maji,71,mkate,kelele,picha,maji,white,white,black,black,5.377381800208241,d,kelele,4.666567000094801,c,1.0,kelele,0.4522947003133595,3.0
2,4,1,1,0.0,kamwe,miaka,wadudu,bega,15,miaka,kamwe,wadudu,bega,black,black,black,white,8.054571699816734,j,bega,3.601365900132805,j,1.0,bega,0.9120079996064305,3.0
3,3,4,0,-0.25,kiwango,neyemba,kimysa,farasi,121,kiwango,kimysa,neyemba,farasi,white,white,white,white,5.35717700002715,j,kiwango,14.663902999833226,d,1.0,kiwango,1.4056772999465466,3.0
4,0,4,0,-0.25,sungura,chupa,singizi,rombus,124,sungura,singizi,chupa,rombus,white,white,white,white,2.198403500020504,c,rombus,2.8987985998392105,j,1.0,rombus,0.7446111002936959,3.0
5,5,1,1,0.0,mbolea,uhuru,daima,nyota,52,uhuru,nyota,daima,mbolea,white,black,black,black,7.8922303998842835,d,mbolea,31.212082899641246,j,1.0,mbolea,1.4632029999047518,2.0
6,8,2,1,0.5,ishara,guruwe,kununa,kisiwa,53,ishara,kisiwa,guruwe,kununa,black,white,black,white,8.410110500175506,c,guruwe,19.896263900212944,n,1.0,guruwe,1.5266495998948812,2.0
7,7,4,0,-0.25,ngamia,hasira,jumatu,sabuni,64,jumatu,sabuni,hasira,ngamia,white,white,white,white,5.109163499902934,j,hasira,4.829677499830723,n,1.0,hasira,0.7427042000927031,3.0
8,9,1,1,0.0,kifua,mguu,filimbi,takatak,96,mguu,kifua,filimbi,takatak,black,black,black,white,3.007956600282341,j,takatak,15.412918899673969,j,1.0,takatak,0.7579110004007816,3.0
9,6,1,1,0.0,jani,moshi,shimoni,uzio,102,shimoni,uzio,jani,moshi,black,black,white,black,7.726920299697667,n,shimoni,11.10365069983527,d,1.0,shimoni,0.4674826003611088,3.0
10,14,4,1,0.75,jeraha,sayari,suti,panya,1,sayari,suti,panya,jeraha,white,white,white,white,0.8822341002523899,d,jeraha,18.397499199956656,n,0.0,panya,1.211542900186032,1.0
11,13,4,1,0.75,kazi,tumbili,wengine,seesaw,109,wengine,kazi,seesaw,tumbili,white,white,white,white,5.985447500366718,n,wengine,12.125055700074881,d,1.0,wengine,1.238045500125736,2.0
12,10,2,1,0.5,stork,mundamo,gari,jikoni,37,jikoni,gari,mundamo,stork,black,white,white,black,5.278146899770945,n,gari,10.14093909971416,c,1.0,gari,0.6192715000361204,3.0
13,12,4,1,0.75,jino,surali,kioo,samaki,86,jino,surali,kioo,samaki,white,white,white,white,16.42126529989764,n,kioo,15.517462800256908,n,1.0,kioo,0.6261297999881208,3.0
14,11,4,0,-0.25,kifungo,nyundu,mchezo,wingi,97,wingi,nyundu,kifungo,mchezo,white,white,white,white,4.4657987002283335,j,mchezo,17.381678599864244,j,1.0,mchezo,0.6866878997534513,3.0
15,15,4,0,-0.25,mtirka,maua,soko,maziwa,34,mtirka,soko,maua,maziwa,white,white,white,white,8.169663799926639,n,maua,19.07914419984445,n,1.0,maua,1.293101199902594,1.0
16,19,4,1,0.75,asili,nchi,mdomo,aibu,70,mdomo,asili,aibu,nchi,white,white,white,white,10.959799000062048,c,nchi,7.83917469996959,j,1.0,nchi,1.433875999879092,2.0
17,18,1,1,0.0,washia,nyeusi,kunywa,hofu,122,hofu,washia,nyeusi,kunywa,black,black,black,white,14.194801799952984,j,hofu,4.254158600233495,d,1.0,hofu,0.6087050000205636,3.0
18,17,4,0,-0.25,mazishi,chumvi,kusanya,habari,116,kusanya,chumvi,habari,mazishi,white,white,white,white,9.8310314998962,j,mazishi,16.440327000338584,j,1.0,mazishi,1.4321658997796476,3.0
19,16,2,1,0.5,piga,kemia,mkono,sauti,130,sauti,mkono,piga,kemia,white,white,black,black,12.824306900147349,d,piga,5.318263300228864,n,1.0,piga,0.780082699842751,3.0
20,21,4,0,-0.25,nyundo,mahindi,umeme,moyo,113,nyundo,mahindi,moyo,umeme,white,white,white,white,3.385563400108367,n,nyundo,30.06543429987505,n,0.0,moyo,1.4176777000539005,0.0
21,22,4,0,-0.25,nyasi,geza,mgonjwa,skrini,95,geza,nyasi,skrini,mgonjwa,white,white,white,white,8.204713100101799,n,skrini,32.54207089962438,n,1.0,skrini,0.9883692003786564,3.0
22,23,4,0,-0.25,kikapu,nyange,barua,tamasha,41,nyange,barua,kikapu,tamasha,white,white,white,white,12.223015800118446,c,tamasha,18.785423600114882,j,1.0,tamasha,0.9613554002717137,3.0
23,24,2,1,0.5,mfupa,mwanake,mbwa,tanuri,112,mwanake,mbwa,mfupa,tanuri,white,black,white,black,6.513597200158984,n,mbwa,4.455676999874413,c,1.0,mbwa,0.7344219000078738,3.0
24,20,4,0,-0.25,daraja,rafiki,mafuta,ufagio,92,ufagio,daraja,rafiki,mafuta,white,white,white,white,19.699587400071323,j,rafiki,11.428428799845278,j,0.0,mafuta,1.0212681996636093,2.0
25,27,4,0,-0.25,mlango,petye,mavazi,mzungu,135,mlango,mzungu,petye,mavazi,white,white,white,white,69.24673180002719,c,mlango,32.17912260023877,n,0.0,petye,1.3957190001383424,1.0
26,29,4,0,-0.25,radi,katika,amani,ngono,25,amani,katika,radi,ngono,white,white,white,white,3.5250666001811624,d,amani,3.656596599612385,d,1.0,amani,1.1973388995975256,3.0
27,28,2,0,-0.5,kidole,mkanda,kisu,baiski,54,kisu,baiski,kidole,mkanda,black,white,black,white,22.70645590033382,j,mkanda,21.74387999996543,d,0.0,kisu,1.0729141002520919,1.0
28,26,4,0,-0.25,mvua,garisi,bustani,ugomvi,84,mvua,garisi,ugomvi,bustani,white,white,white,white,5.790510700084269,n,garisi,13.11011889996007,j,0.0,bustani,0.775273600127548,3.0
29,25,4,0,-0.25,mechezo,ndaniya,kihozi,bafuni,16,kihozi,ndaniya,bafuni,mechezo,white,white,white,white,11.281874999869617,j,kihozi,20.2148915999569,j,0.0,mechezo,1.342897200025618,1.0
30,31,2,0,-0.5,chanzo,koleo,chombo,akili,85,chanzo,koleo,chombo,akili,white,black,black,white,9.090430000331253,j,chanzo,17.151219999883324,n,0.0,chombo,0.9938040003180504,2.0
31,34,2,0,-0.5,kubwa,siagi,kartasi,mwezi,72,kubwa,kartasi,siagi,mwezi,white,black,white,black,10.81689290003851,n,kubwa,19.14418730000034,n,0.0,siagi,1.6354839000850916,1.0
32,32,4,0,-0.25,kiti,chubani,kaburi,chuki,78,chuki,kiti,chubani,kaburi,white,white,white,white,14.34426370030269,c,chuki,11.14492140011862,d,1.0,chuki,2.147061000112444,3.0
33,30,2,0,-0.5,mekno,ishiri,jibini,chupi,125,chupi,jibini,mekno,ishiri,black,black,white,white,7.737357599660754,n,chupi,26.799179300200194,d,1.0,chupi,1.0661074998788536,1.0
34,33,4,1,0.75,nakala,viatu,trekta,tembo,44,tembo,viatu,trekta,nakala,white,white,white,white,3.30982599966228,j,tembo,5.006428999826312,d,1.0,tembo,0.8427903996780515,3.0
