number,corrAns,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,inst.started,instructions.started,ready.started,inst.stopped,fixation.started,fix.started,fixation.stopped,sti.started,text.started,key_resp.started,sti.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,fix.stopped,End.started,endding.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.00379170011729002,0.010819400195032358,0.010819400195032358,4.306847000028938,,,,,,,,,,,,,,,,16,002,2025-02-12_16h56.00.585,3.2.  1.16 psyexp,2024.2.4,60.12050547891787,2025-02-12 16h56.09.052354 +0800,
9,f,0,0,0,f,1,0.8333065998740494,None,0,0,0,7,4.3195821000263095,,,,,,4.313300400041044,4.3195821000263095,4.817114100325853,4.820130500011146,5.316229100339115,5.316229100339115,6.165945200249553,f,1,0.8333065998740494,None,,,,,16,002,2025-02-12_16h56.00.585,3.2.  1.16 psyexp,2024.2.4,60.12050547891787,2025-02-12 16h56.09.052354 +0800,
2,j,1,1,0,j,1,1.8722910997457802,None,0,1,1,1,6.1851029000245035,,,,,,6.166080100461841,6.1851029000245035,6.680302300024778,6.683070900384337,7.179418500047177,7.179418500047177,9.059383600018919,j,1,1.8722910997457802,None,,,,,16,002,2025-02-12_16h56.00.585,3.2.  1.16 psyexp,2024.2.4,60.12050547891787,2025-02-12 16h56.09.052354 +0800,
3,j,2,2,0,j,1,0.5855898000299931,None,0,2,2,2,9.074804300442338,,,,,,9.05953810038045,9.074804300442338,9.557676900178194,9.560389700345695,10.072795600164682,10.072795600164682,10.672361800447106,j,1,0.5855898000299931,None,9.573922200128436,,,,16,002,2025-02-12_16h56.00.585,3.2.  1.16 psyexp,2024.2.4,60.12050547891787,2025-02-12 16h56.09.052354 +0800,
1,j,3,3,0,j,1,0.43959790002554655,None,0,3,3,0,10.688063600100577,,,,,,10.67250580014661,10.688063600100577,11.171054200269282,11.173750300426036,11.685925900004804,11.685925900004804,12.136132600251585,j,1,0.43959790002554655,None,11.187189300078899,,,,16,002,2025-02-12_16h56.00.585,3.2.  1.16 psyexp,2024.2.4,60.12050547891787,2025-02-12 16h56.09.052354 +0800,
8,f,4,4,0,f,1,0.5177326002158225,None,0,4,4,6,12.151747000403702,,,,,,12.136298300232738,12.151747000403702,12.63489400036633,12.637984500266612,13.149437100160867,13.149437100160867,13.683333900291473,f,1,0.5177326002158225,None,12.650596500374377,,,,16,002,2025-02-12_16h56.00.585,3.2.  1.16 psyexp,2024.2.4,60.12050547891787,2025-02-12 16h56.09.052354 +0800,
4,j,5,5,0,j,1,0.5389116001315415,None,0,5,5,3,13.698398600332439,,,,,,13.683468600269407,13.698398600332439,14.181293200235814,14.183880000375211,14.69711760012433,14.69711760012433,15.246076800394803,j,1,0.5389116001315415,None,14.197434700094163,,,,16,002,2025-02-12_16h56.00.585,3.2.  1.16 psyexp,2024.2.4,60.12050547891787,2025-02-12 16h56.09.052354 +0800,
7,f,6,6,0,f,1,0.42646139999851584,None,0,6,6,5,15.261590600013733,,,,,,15.24622210022062,15.261590600013733,15.744596500415355,15.747577900066972,16.259597100317478,16.259597100317478,16.692746700253338,f,1,0.42646139999851584,None,15.760603400412947,,,,16,002,2025-02-12_16h56.00.585,3.2.  1.16 psyexp,2024.2.4,60.12050547891787,2025-02-12 16h56.09.052354 +0800,
6,f,7,7,0,j,0,0.4983764998614788,None,0,7,7,4,16.708490800112486,,,,,,16.692898700013757,16.708490800112486,17.192588600330055,17.195609300397336,17.706615600269288,17.706615600269288,18.20744280004874,j,0,0.4983764998614788,None,17.20766990026459,,,,16,002,2025-02-12_16h56.00.585,3.2.  1.16 psyexp,2024.2.4,60.12050547891787,2025-02-12 16h56.09.052354 +0800,
8,f,8,0,1,f,1,0.6685259998776019,None,1,0,8,6,18.221968700177968,,,,,,18.207579400390387,18.221968700177968,18.705061500426382,18.7063946002163,19.219905000180006,19.219905000180006,19.902609100099653,f,1,0.6685259998776019,None,18.72085660044104,,,,16,002,2025-02-12_16h56.00.585,3.2.  1.16 psyexp,2024.2.4,60.12050547891787,2025-02-12 16h56.09.052354 +0800,
