number,corrAns,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,inst.started,instructions.started,ready.started,inst.stopped,fixation.started,fix.started,fixation.stopped,sti.started,text.started,key_resp.started,sti.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,fix.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.003753699827939272,0.011657199822366238,0.011657199822366238,4.189857400022447,,,,,,,,,,,,,99,001,2025-02-11_21h28.03.298,3.2.  1.16 psyexp,2024.2.4,60.28715973997814,2025-02-11 21h28.11.073552 +0800,
1,j,0,0,0,f,0,0.7423382000997663,None,0,0,0,0,4.212767299730331,,,,,,4.206304399762303,4.212767299730331,4.700691599864513,4.704545000102371,5.199508800171316,5.199508800171316,5.948860500007868,f,0,0.7423382000997663,None,,99,001,2025-02-11_21h28.03.298,3.2.  1.16 psyexp,2024.2.4,60.28715973997814,2025-02-11 21h28.11.073552 +0800,
7,f,1,1,0,j,0,0.6726080998778343,None,0,1,1,5,5.9644490997307,,,,,,5.949000000022352,5.9644490997307,6.447678599972278,6.450490599963814,6.962661299854517,6.962661299854517,7.645381200127304,j,0,0.6726080998778343,None,6.463596600107849,99,001,2025-02-11_21h28.03.298,3.2.  1.16 psyexp,2024.2.4,60.28715973997814,2025-02-11 21h28.11.073552 +0800,
9,f,2,2,0,j,0,0.5588514003902674,None,0,2,2,7,7.6609073001891375,,,,,,7.645520200021565,7.6609073001891375,8.160070999991149,8.163406500127167,8.658965699840337,8.658965699840337,9.225181699730456,j,0,0.5588514003902674,None,,99,001,2025-02-11_21h28.03.298,3.2.  1.16 psyexp,2024.2.4,60.28715973997814,2025-02-11 21h28.11.073552 +0800,
4,j,3,3,0,f,0,0.5614025997929275,None,0,3,3,3,9.240607100073248,,,,,,9.225343499798328,9.240607100073248,9.72361239977181,9.726404499728233,10.238931600004435,10.238931600004435,10.805723699741066,f,0,0.5614025997929275,None,9.739738000091165,99,001,2025-02-11_21h28.03.298,3.2.  1.16 psyexp,2024.2.4,60.28715973997814,2025-02-11 21h28.11.073552 +0800,
3,j,4,4,0,f,0,0.42770419968292117,None,0,4,4,2,10.820929999928921,,,,,,10.805870399810374,10.820929999928921,11.319944799877703,11.323391399811953,11.818660499993712,11.818660499993712,12.252095200121403,f,0,0.42770419968292117,None,,99,001,2025-02-11_21h28.03.298,3.2.  1.16 psyexp,2024.2.4,60.28715973997814,2025-02-11 21h28.11.073552 +0800,
8,f,5,5,0,,,,,0,5,5,6,12.267620400059968,,,,,,12.252261099871248,12.267620400059968,12.766777299810201,12.769572999794036,13.265694200061262,13.265694200061262,,,,,,,,,,,,,,
