,NOptions,Correct,SRPE,Swahili1,Swahili2,Swahili3,Swahili4,Face,TestSwahili1,TestSwahili2,TestSwahili3,TestSwahili4,Color1,Color2,Color3,Color4,RT,Response,SelectedWord
0,4,0,-0.25,sungura,chupa,singizi,rombus,124,sungura,singizi,chupa,rombus,white,white,white,white,2.198403500020504,c,rombus
1,2,1,0.5,kelele,mkate,picha,maji,71,mkate,kelele,picha,maji,white,white,black,black,5.377381800208241,d,kelele
2,2,0,-0.5,msumari,tamaa,mraba,tafuta,51,msumari,tafuta,mraba,tamaa,black,white,white,black,7.269394699949771,c,mraba
3,4,0,-0.25,kiwango,neyemba,kimysa,farasi,121,kiwango,kimysa,neyemba,farasi,white,white,white,white,5.35717700002715,j,kiwango
4,1,1,0.0,kamwe,miaka,wadudu,bega,15,miaka,kamwe,wadudu,bega,black,black,black,white,8.054571699816734,j,bega
5,1,1,0.0,mbolea,uhuru,daima,nyota,52,uhuru,nyota,daima,mbolea,white,black,black,black,7.8922303998842835,d,mbolea
6,1,1,0.0,jani,moshi,shimoni,uzio,102,shimoni,uzio,jani,moshi,black,black,white,black,7.726920299697667,n,shimoni
7,4,0,-0.25,ngamia,hasira,jumatu,sabuni,64,jumatu,sabuni,hasira,ngamia,white,white,white,white,5.109163499902934,j,hasira
8,2,1,0.5,ishara,guruwe,kununa,kisiwa,53,ishara,kisiwa,guruwe,kununa,black,white,black,white,8.410110500175506,c,guruwe
9,1,1,0.0,kifua,mguu,filimbi,takatak,96,mguu,kifua,filimbi,takatak,black,black,black,white,3.0079566002823412,j,takatak
10,2,1,0.5,stork,mundamo,gari,jikoni,37,jikoni,gari,mundamo,stork,black,white,white,black,5.278146899770945,n,gari
11,4,0,-0.25,kifungo,nyundu,mchezo,wingi,97,wingi,nyundu,kifungo,mchezo,white,white,white,white,4.4657987002283335,j,mchezo
12,4,1,0.75,jino,surali,kioo,samaki,86,jino,surali,kioo,samaki,white,white,white,white,16.42126529989764,n,kioo
13,4,1,0.75,kazi,tumbili,wengine,seesaw,109,wengine,kazi,seesaw,tumbili,white,white,white,white,5.985447500366718,n,wengine
14,4,1,0.75,jeraha,sayari,suti,panya,1,sayari,suti,panya,jeraha,white,white,white,white,0.8822341002523899,d,jeraha
15,4,0,-0.25,mtirka,maua,soko,maziwa,34,mtirka,soko,maua,maziwa,white,white,white,white,8.169663799926639,n,maua
16,2,1,0.5,piga,kemia,mkono,sauti,130,sauti,mkono,piga,kemia,white,white,black,black,12.824306900147349,d,piga
17,4,0,-0.25,mazishi,chumvi,kusanya,habari,116,kusanya,chumvi,habari,mazishi,white,white,white,white,9.831031499896199,j,mazishi
18,1,1,0.0,washia,nyeusi,kunywa,hofu,122,hofu,washia,nyeusi,kunywa,black,black,black,white,14.194801799952984,j,hofu
19,4,1,0.75,asili,nchi,mdomo,aibu,70,mdomo,asili,aibu,nchi,white,white,white,white,10.959799000062048,c,nchi
20,4,0,-0.25,daraja,rafiki,mafuta,ufagio,92,ufagio,daraja,rafiki,mafuta,white,white,white,white,19.699587400071323,j,rafiki
21,4,0,-0.25,nyundo,mahindi,umeme,moyo,113,nyundo,mahindi,moyo,umeme,white,white,white,white,3.385563400108367,n,nyundo
22,4,0,-0.25,nyasi,geza,mgonjwa,skrini,95,geza,nyasi,skrini,mgonjwa,white,white,white,white,8.204713100101799,n,skrini
23,4,0,-0.25,kikapu,nyange,barua,tamasha,41,nyange,barua,kikapu,tamasha,white,white,white,white,12.223015800118446,c,tamasha
24,2,1,0.5,mfupa,mwanake,mbwa,tanuri,112,mwanake,mbwa,mfupa,tanuri,white,black,white,black,6.5135972001589835,n,mbwa
25,4,0,-0.25,mechezo,ndaniya,kihozi,bafuni,16,kihozi,ndaniya,bafuni,mechezo,white,white,white,white,11.281874999869615,j,kihozi
26,4,0,-0.25,mvua,garisi,bustani,ugomvi,84,mvua,garisi,ugomvi,bustani,white,white,white,white,5.790510700084269,n,garisi
27,4,0,-0.25,mlango,petye,mavazi,mzungu,135,mlango,mzungu,petye,mavazi,white,white,white,white,69.24673180002719,c,mlango
28,2,0,-0.5,kidole,mkanda,kisu,baiski,54,kisu,baiski,kidole,mkanda,black,white,black,white,22.70645590033382,j,mkanda
29,4,0,-0.25,radi,katika,amani,ngono,25,amani,katika,radi,ngono,white,white,white,white,3.5250666001811624,d,amani
30,2,0,-0.5,mekno,ishiri,jibini,chupi,125,chupi,jibini,mekno,ishiri,black,black,white,white,7.737357599660754,n,chupi
31,2,0,-0.5,chanzo,koleo,chombo,akili,85,chanzo,koleo,chombo,akili,white,black,black,white,9.090430000331253,j,chanzo
32,4,0,-0.25,kiti,chubani,kaburi,chuki,78,chuki,kiti,chubani,kaburi,white,white,white,white,14.34426370030269,c,chuki
33,4,1,0.75,nakala,viatu,trekta,tembo,44,tembo,viatu,trekta,nakala,white,white,white,white,3.30982599966228,j,tembo
34,2,0,-0.5,kubwa,siagi,kartasi,mwezi,72,kubwa,kartasi,siagi,mwezi,white,black,white,black,10.81689290003851,n,kubwa
