,NOptions,Correct,SRPE,Swahili1,Swahili2,Swahili3,Swahili4,Face,TestSwahili1,TestSwahili2,TestSwahili3,TestSwahili4,Color1,Color2,Color3,Color4,RT,Response,SelectedWord
0,4,1,0.75,uadui,sehemu,godoro,kesho,87,uadui,godoro,sehemu,kesho,white,white,white,white,0.0500989998690784,d,uadui
1,2,0,-0.5,bloke,surali,barua,stork,104,barua,surali,stork,bloke,black,white,black,white,0.050708699971437454,d,surali
2,4,1,0.75,nyundu,jumatu,kuhesa,tumbili,124,tumbili,kuhesa,jumatu,nyundu,white,white,white,white,0.050537100061774254,d,nyundu
3,2,1,0.5,kawaida,wimbo,koleo,kifua,55,koleo,kifua,kawaida,wimbo,white,black,white,black,0.05069649964570999,d,kawaida
4,1,1,0.0,s,mechezo,siagi,rangi,121,rangi,mechezo,s,siagi,black,black,black,white,0.049975999630987644,d,s
5,2,1,0.5,kitovu,mpishi,zeituni,kamba,72,kamba,mpishi,zeituni,kitovu,white,black,black,white,0.05032930010929704,d,kitovu
6,4,0,-0.25,ishara,welder,wakala,nyange,4,ishara,welder,nyange,wakala,white,white,white,white,0.05078919976949692,d,wakala
7,4,0,-0.25,mali,rafiki,uyoga,ndugu,35,mali,rafiki,ndugu,uyoga,white,white,white,white,0.05071379989385605,d,uyoga
8,4,0,-0.25,kito,ngono,mbwa,kukimba,120,mbwa,kito,ngono,kukimba,white,white,white,white,0.05066019995138049,d,ngono
9,4,0,-0.25,kichwa,matunda,mavazi,tamaa,7,kichwa,mavazi,matunda,tamaa,white,white,white,white,0.0505193998105824,d,tamaa
10,4,0,-0.25,hamsi,moshi,moyo,suruali,134,moshi,moyo,hamsi,suruali,white,white,white,white,0.0510517000220716,d,moshi
11,2,1,0.5,nguo,mkanda,almasi,nyoka,31,mkanda,almasi,nguo,nyoka,black,white,black,white,0.05108040012419224,d,nguo
12,4,0,-0.25,mekno,lugha,tembo,ardhi,128,mekno,ardhi,lugha,tembo,white,white,white,white,0.050330300349742174,d,tembo
13,4,0,-0.25,bandari,kuruka,farasi,mvua,73,bandari,farasi,mvua,kuruka,white,white,white,white,0.051585299894213676,d,mvua
14,1,1,0.0,kiti,ufagio,uongo,kupanda,129,ufagio,uongo,kiti,kupanda,black,black,white,black,0.05085420003160834,d,kiti
15,4,0,-0.25,adui,mungu,maua,gundi,108,mungu,gundi,adui,maua,white,white,white,white,0.05074340011924505,d,mungu
16,4,0,-0.25,mafuta,gari,sauti,meli,15,meli,gari,sauti,mafuta,white,white,white,white,0.05042569991201162,d,meli
17,4,1,0.75,mtoto,jansa,amani,sayari,140,mtoto,sayari,amani,jansa,white,white,white,white,0.05106339976191521,d,mtoto
18,2,1,0.5,starehe,ndaniya,umeme,kikapu,60,kikapu,umeme,starehe,ndaniya,white,white,black,black,0.05146059999242425,d,starehe
19,4,0,-0.25,kubwa,jeraha,yatima,kujenga,132,kubwa,kujenga,yatima,jeraha,white,white,white,white,0.050835900008678436,d,jeraha
20,4,0,-0.25,mtawa,mkoba,hasira,kartasi,62,mkoba,hasira,mtawa,kartasi,white,white,white,white,0.051171800121665,d,mkoba
21,1,1,0.0,seri,mguu,elfu,chanzo,80,elfu,chanzo,seri,mguu,black,black,white,black,0.050644099712371826,d,seri
22,4,0,-0.25,nzuri,chupa,furaha,alizeti,25,chupa,alizeti,furaha,nzuri,white,white,white,white,0.05087909987196326,d,furaha
23,4,0,-0.25,mchanga,kunywa,jino,tamasha,119,kunywa,jino,tamasha,mchanga,white,white,white,white,0.05112869990989566,d,tamasha
24,2,0,-0.5,kushoto,ndevu,pole,meza,59,kushoto,ndevu,pole,meza,black,black,white,white,0.05099039990454912,d,meza
25,1,1,0.0,dakika,piga,kisu,ngozi,75,piga,dakika,kisu,ngozi,black,black,white,black,0.05104670021682978,d,dakika
26,4,1,0.75,tanuri,habari,msitu,ngamia,93,msitu,tanuri,ngamia,habari,white,white,white,white,0.05046990001574159,d,tanuri
27,4,1,0.75,petye,matumbo,sungura,mundamo,91,matumbo,sungura,mundamo,petye,white,white,white,white,0.05080190021544695,d,petye
28,4,0,-0.25,nyundo,seesaw,mdudu,mkuu,115,seesaw,nyundo,mdudu,mkuu,white,white,white,white,0.05128449993208051,d,mkuu
29,2,0,-0.5,kalamu,glasi,wengine,pombe,97,pombe,kalamu,glasi,wengine,black,black,white,white,0.05140789970755577,d,pombe
30,2,0,-0.5,imani,sahani,jibini,kununa,53,imani,kununa,sahani,jibini,white,black,white,black,0.051487999968230724,d,jibini
31,1,1,0.0,kusikiza,mwanga,asili,kijivu,86,kusikiza,asili,mwanga,kijivu,white,black,black,black,0.05058459984138608,d,kusikiza
32,2,0,-0.5,uchorai,kihozi,mkono,jokofu,29,jokofu,kihozi,mkono,uchorai,black,white,white,black,0.050381900276988745,d,mkono
33,4,0,-0.25,wingu,bafuni,kovuli,simu,34,bafuni,simu,kovuli,wingu,white,white,white,white,0.05125739984214306,d,kovuli
34,2,1,0.5,soko,chubani,jiwe,kubale,92,soko,chubani,jiwe,kubale,black,black,white,white,0.05116529995575547,d,soko
